Experience,Qualifications,Skills,Prior Job Title,Req1_Experience,Req2_Education,Req3_CoreSkill,Req4_AIML,Req5_CrossFunctional,Req6_Technical,Req7_TitleAndAI,Total_Score,Fit_Label
3 Years,B.A. Literature,"Google Analytics, Power BI, Salesforce, Market Research",UX Designer,Gap,Gap,Gap,Gap,Gap,Partial,Gap,1,Likely Not a Fit
7 Years,B.Com Economics,"Scrum, Product Strategy, A/B Testing, Data Analysis, Data Science, Stakeholder Management",Senior Product Manager,Partial,Partial,Met,Met,Met,Met,Met,12,Strong Fit
8 Years,B.Sc Computer Science,"Data Analysis, Customer Research, Scrum, Machine Learning, Salesforce, Team Leadership, Product Strategy",Technical Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
3 Years,B.Sc Mathematics,"JIRA, Negotiation, Project Management, Artificial Intelligence",Data Scientist,Gap,Partial,Partial,Met,Gap,Gap,Partial,5,Likely Not a Fit
4 Years,Bachelor of Hospitality Management,"Salesforce, Google Analytics",Data Analyst,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
2 Years,B.Tech Computer Science,"Customer Research, Statistics, Negotiation, Market Research, Power BI",Software Engineer,Gap,Met,Gap,Partial,Gap,Partial,Gap,4,Likely Not a Fit
15 Years,B.Sc Computer Science,"Negotiation, UX Research, Customer Research, Artificial Intelligence, Product Management, Python, A/B Testing",Technical Product Manager,Met,Met,Met,Met,Gap,Met,Met,12,Strong Fit
0 Years,MBA Business Administration,"Salesforce, Communication, JIRA, Public Speaking",Group Product Manager,Gap,Met,Gap,Gap,Partial,Gap,Partial,4,Likely Not a Fit
6 Years,M.Sc Statistics,"UX Research, AI, Scrum, Google Analytics, Product Management, Salesforce, Collaboration",Sales Executive,Partial,Partial,Met,Met,Partial,Gap,Partial,8,Needs Review
15 Years,B.Eng Industrial Engineering,"SQL, Customer Research, JIRA, Data Analytics, Project Management",Customer Success Manager,Met,Met,Partial,Partial,Gap,Met,Gap,8,Needs Review
3 Years,B.A. History,"Power BI, Confluence, Roadmapping, Communication, Agile, Customer Research, Data Analytics",Customer Success Manager,Gap,Gap,Gap,Partial,Partial,Partial,Gap,3,Likely Not a Fit
4 Years,B.A. History,"Roadmapping, Agile, Google Analytics",Operations Manager,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
4 Years,Bachelor of Hospitality Management,"Google Analytics, Communication, Roadmapping",Sales Executive,Gap,Gap,Gap,Gap,Partial,Gap,Gap,1,Likely Not a Fit
12 Years,B.Sc Physics,"Customer Research, Google Analytics, Public Speaking, Data Analysis, Artificial Intelligence, Team Leadership, Salesforce, Product Management",Technical Product Manager,Met,Partial,Met,Met,Met,Met,Met,13,Strong Fit
5 Years,B.Com Economics,"Python, AI, Team Leadership, Product Strategy, Agile, Negotiation",Product Manager,Partial,Partial,Met,Met,Met,Met,Met,12,Strong Fit
5 Years,Diploma in Culinary Arts,"Project Management, Public Speaking, Data Analysis, Negotiation, Roadmapping",Data Analyst,Partial,Gap,Partial,Gap,Gap,Met,Gap,4,Likely Not a Fit
9 Years,B.A. Literature,"Statistics, Collaboration, Google Analytics, A/B Testing, Data Analysis",Operations Manager,Met,Gap,Gap,Partial,Partial,Met,Gap,6,Needs Review
8 Years,M.A. Economics,"UX Research, Product Design, Market Research, Power BI",Project Coordinator,Met,Partial,Partial,Gap,Gap,Partial,Gap,5,Likely Not a Fit
0 Years,Bachelor of Hospitality Management,"Roadmapping, Confluence, Scrum, UX Research, Product Design",Marketing Manager,Gap,Gap,Partial,Gap,Gap,Gap,Gap,1,Likely Not a Fit
7 Years,B.Sc Computer Science,"Product Design, Statistics, Salesforce, Python, Stakeholder Management, Customer Research",Group Product Manager,Partial,Met,Partial,Partial,Met,Met,Partial,10,Needs Review
11 Years,M.Tech Computer Science,"Python, Team Leadership, Confluence, Product Strategy, Salesforce, Data Science",Technical Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
4 Years,M.Sc Statistics,"Project Management, Agile, Team Leadership, Google Analytics",Project Coordinator,Gap,Partial,Partial,Gap,Met,Gap,Gap,4,Likely Not a Fit
5 Years,MBA,"Power BI, Salesforce, Roadmapping, Confluence, Product Strategy",Associate Product Manager,Partial,Met,Met,Gap,Gap,Partial,Partial,7,Needs Review
12 Years,M.Sc Statistics,"Salesforce, Roadmapping, ML, Scrum, Communication, Product Strategy, JIRA",Sales Executive,Met,Partial,Met,Met,Partial,Gap,Partial,9,Needs Review
9 Years,B.Sc Physics,"Data Analytics, Negotiation, Customer Research, Market Research, Data Analysis, Product Strategy, Team Leadership",Product Manager,Met,Partial,Met,Partial,Met,Met,Partial,11,Strong Fit
5 Years,Diploma in Culinary Arts,"Agile, Communication, Product Design, Roadmapping, Scrum, A/B Testing",Software Engineer,Partial,Gap,Partial,Gap,Partial,Gap,Gap,3,Likely Not a Fit
0 Years,B.Com Economics,"JIRA, A/B Testing, Customer Research, Artificial Intelligence, Excel, Confluence",Technical Product Manager,Gap,Partial,Gap,Met,Gap,Partial,Met,6,Needs Review
6 Years,M.Tech Computer Science,"Public Speaking, Python, Negotiation, Confluence, Product Management",Senior Product Manager,Partial,Met,Met,Gap,Gap,Met,Partial,8,Needs Review
5 Years,M.A. Economics,"Public Speaking, Market Research, Agile, Project Management, Statistics",Operations Manager,Partial,Partial,Partial,Partial,Gap,Gap,Gap,4,Likely Not a Fit
8 Years,M.A. Economics,"Customer Research, Salesforce, Roadmapping, Power BI, Product Management, Team Leadership",Group Product Manager,Met,Partial,Met,Gap,Met,Partial,Partial,9,Needs Review
10 Years,MBA,"Google Analytics, Agile, Business Intelligence, Project Management, Communication, SQL, Scrum, A/B Testing",Sales Executive,Met,Met,Partial,Partial,Partial,Met,Gap,9,Needs Review
10 Years,Diploma in Information Technology,"AI, SQL, Agile, Team Leadership, Product Strategy, Scrum, Customer Research",Product Manager,Met,Partial,Met,Met,Met,Met,Met,13,Strong Fit
5 Years,Diploma in Culinary Arts,"JIRA, Business Intelligence, Communication, Product Management, Scrum",Customer Success Manager,Partial,Gap,Met,Partial,Partial,Gap,Gap,5,Likely Not a Fit
13 Years,B.Sc Computer Science,"Salesforce, A/B Testing, Project Management, Machine Learning, Customer Research, Collaboration, Scrum, Data Analysis",Product Manager,Met,Met,Partial,Met,Partial,Met,Met,12,Strong Fit
15 Years,B.Sc Physics,"AI, A/B Testing, Roadmapping",Senior Product Manager,Met,Partial,Gap,Met,Gap,Gap,Met,7,Needs Review
7 Years,M.Sc Data Science,"Product Management, Google Analytics, Stakeholder Management, SQL, Salesforce",Project Coordinator,Partial,Met,Met,Gap,Met,Met,Gap,9,Needs Review
6 Years,M.A. Economics,"Machine Learning, Agile, Project Management, Customer Research, Communication",Data Engineer,Partial,Partial,Partial,Met,Partial,Gap,Partial,7,Needs Review
2 Years,BA Sociology,"Confluence, JIRA, Negotiation",Senior Product Manager,Gap,Gap,Gap,Gap,Gap,Gap,Partial,1,Likely Not a Fit
12 Years,B.Sc Computer Science,"Business Intelligence, Market Research, Team Leadership, Negotiation, SQL, Confluence, Product Management, Scrum",Technical Product Manager,Met,Met,Met,Partial,Met,Met,Partial,12,Strong Fit
5 Years,B.Com Economics,"Artificial Intelligence, Google Analytics, Collaboration, Salesforce, Confluence, Power BI, Market Research",Marketing Manager,Partial,Partial,Gap,Met,Partial,Partial,Partial,7,Needs Review
1 Years,M.Sc Statistics,"Market Research, Tableau, Salesforce, Agile, Product Design, Stakeholder Management, Statistics",Operations Manager,Gap,Partial,Partial,Partial,Met,Partial,Gap,6,Needs Review
13 Years,B.Sc Physics,"SQL, Salesforce, Public Speaking, Market Research, AI, Stakeholder Management, Negotiation, Product Strategy",Product Manager,Met,Partial,Met,Met,Met,Met,Met,13,Strong Fit
11 Years,Diploma in Culinary Arts,"Roadmapping, Customer Research, Product Design, Communication, Negotiation",Technical Product Manager,Met,Gap,Partial,Gap,Partial,Gap,Partial,5,Likely Not a Fit
4 Years,M.Eng Software Engineering,"Product Strategy, UX Research, A/B Testing, Stakeholder Management, Negotiation",Technical Product Manager,Gap,Met,Met,Gap,Met,Gap,Partial,7,Needs Review
4 Years,MBA,"Data Science, Salesforce, Excel, Product Design, JIRA, Confluence, Customer Research",Associate Product Manager,Gap,Met,Partial,Met,Gap,Partial,Met,8,Needs Review
4 Years,Diploma in Information Technology,"SQL, Roadmapping, A/B Testing, Communication, Confluence",Operations Manager,Gap,Partial,Gap,Gap,Partial,Met,Gap,4,Likely Not a Fit
6 Years,B.Sc Mathematics,"Negotiation, Public Speaking, Data Analytics, Product Design, UX Research, Collaboration, Salesforce, Power BI",Sales Executive,Partial,Partial,Partial,Partial,Partial,Partial,Gap,6,Needs Review
10 Years,BA Fine Arts,"UX Research, Power BI, Business Intelligence, Market Research, Scrum, Collaboration",Marketing Manager,Met,Gap,Gap,Partial,Partial,Partial,Gap,5,Likely Not a Fit
5 Years,B.Sc Mathematics,"Communication, A/B Testing, Roadmapping, Public Speaking, Data Analytics",Operations Manager,Partial,Partial,Gap,Partial,Partial,Gap,Gap,4,Likely Not a Fit
14 Years,MBA,"Product Strategy, Negotiation, JIRA, A/B Testing, Market Research, SQL, Team Leadership, ML",Technical Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
5 Years,B.Eng Industrial Engineering,"JIRA, Agile, Stakeholder Management, Machine Learning, Product Strategy, Confluence, Data Analysis, Negotiation",Associate Product Manager,Partial,Met,Met,Met,Met,Met,Met,13,Strong Fit
0 Years,B.A. Literature,"Product Design, Business Intelligence, Excel, Communication, Public Speaking, Confluence",Customer Success Manager,Gap,Gap,Partial,Partial,Partial,Partial,Gap,4,Likely Not a Fit
7 Years,B.Tech Computer Science,"Customer Research, UX Research, Business Intelligence, Salesforce, Public Speaking",Data Scientist,Partial,Met,Gap,Partial,Gap,Gap,Gap,4,Likely Not a Fit
3 Years,M.Eng Software Engineering,"Data Analytics, Roadmapping, Scrum, JIRA, Negotiation, Power BI, Project Management",Associate Product Manager,Gap,Met,Partial,Partial,Gap,Partial,Partial,6,Needs Review
8 Years,M.A. Economics,"Customer Research, Data Analytics, Communication, Agile, Public Speaking, Product Design",Data Engineer,Met,Partial,Partial,Partial,Partial,Gap,Gap,6,Needs Review
6 Years,MBA,"Negotiation, Python, JIRA, Stakeholder Management, Statistics, Product Strategy",Associate Product Manager,Partial,Met,Met,Partial,Met,Met,Partial,11,Strong Fit
1 Years,Bachelor of Hospitality Management,"Negotiation, Product Design, Customer Research",Project Coordinator,Gap,Gap,Partial,Gap,Gap,Gap,Gap,1,Likely Not a Fit
7 Years,B.Eng Industrial Engineering,"Roadmapping, Customer Research, Agile, AI, Project Management, Data Analysis, Scrum",Sales Executive,Partial,Met,Partial,Met,Gap,Met,Partial,9,Needs Review
12 Years,B.Com Economics,"Negotiation, Roadmapping, ML, Stakeholder Management, Product Design, Public Speaking, Data Analysis, Salesforce",Customer Success Manager,Met,Partial,Partial,Met,Met,Met,Partial,11,Strong Fit
7 Years,Diploma in Information Technology,"Agile, Negotiation, Project Management, Data Analysis, Confluence, AI, Stakeholder Management",Group Product Manager,Partial,Partial,Partial,Met,Met,Met,Met,11,Strong Fit
2 Years,M.Tech Computer Science,"UX Research, Scrum, Business Intelligence, Data Analysis, A/B Testing, Stakeholder Management, Public Speaking",Group Product Manager,Gap,Met,Gap,Partial,Met,Met,Partial,8,Needs Review
9 Years,B.Sc Physics,"UX Research, JIRA, Market Research, Scrum, Team Leadership, ML",Senior Product Manager,Met,Partial,Gap,Met,Met,Gap,Met,9,Needs Review
9 Years,B.Sc Physics,"AI, Market Research, Product Management, Agile, Data Analysis, Team Leadership",Group Product Manager,Met,Partial,Met,Met,Met,Met,Met,13,Strong Fit
6 Years,BA Fine Arts,"Negotiation, Communication, Salesforce",Sales Executive,Partial,Gap,Gap,Gap,Partial,Gap,Gap,2,Likely Not a Fit
3 Years,Diploma in Information Technology,"Confluence, Product Management, Negotiation, Statistics, Communication, Tableau",Product Manager,Gap,Partial,Met,Partial,Partial,Partial,Partial,7,Needs Review
13 Years,B.Sc Mathematics,"Artificial Intelligence, JIRA, Salesforce, Project Management, Excel, Customer Research, Collaboration, Public Speaking",Technical Product Manager,Met,Partial,Partial,Met,Partial,Partial,Met,10,Needs Review
11 Years,B.Sc Computer Science,"Artificial Intelligence, Google Analytics, Communication, Project Management, Public Speaking",Associate Product Manager,Met,Met,Partial,Met,Partial,Gap,Met,10,Needs Review
11 Years,B.A. Literature,"Excel, JIRA, Communication, Public Speaking, Market Research",Associate Product Manager,Met,Gap,Gap,Gap,Partial,Partial,Partial,5,Likely Not a Fit
12 Years,B.Eng Industrial Engineering,"ML, Scrum, Team Leadership, Public Speaking, A/B Testing, Product Management, Market Research, Data Analysis",Associate Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
10 Years,Diploma in Information Technology,"Confluence, Market Research, Public Speaking, Product Management, Collaboration, UX Research",Group Product Manager,Met,Partial,Met,Gap,Partial,Gap,Partial,7,Needs Review
7 Years,Diploma in Information Technology,"UX Research, Data Science, JIRA, Roadmapping, Negotiation, SQL",Product Manager,Partial,Partial,Gap,Met,Gap,Met,Met,8,Needs Review
12 Years,Diploma in Information Technology,"JIRA, Negotiation, Product Management, ML, UX Research, Power BI, Collaboration",Group Product Manager,Met,Partial,Met,Met,Partial,Partial,Met,11,Strong Fit
2 Years,BA Sociology,"Salesforce, Collaboration, Public Speaking",Project Coordinator,Gap,Gap,Gap,Gap,Partial,Gap,Gap,1,Likely Not a Fit
3 Years,B.A. Literature,"JIRA, Product Design, Public Speaking, A/B Testing, ML, Roadmapping",Operations Manager,Gap,Gap,Partial,Met,Gap,Gap,Partial,4,Likely Not a Fit
8 Years,Bachelor of Hospitality Management,"Agile, Python, Collaboration, Product Strategy, Salesforce, Artificial Intelligence, Market Research",Product Manager,Met,Gap,Met,Met,Partial,Met,Met,11,Strong Fit
9 Years,B.Sc Computer Science,"Business Intelligence, Product Management, JIRA, A/B Testing, Communication",Data Analyst,Met,Met,Met,Partial,Partial,Gap,Gap,8,Needs Review
3 Years,M.Tech Computer Science,"Customer Research, Scrum, Project Management, ML, Tableau, Stakeholder Management, UX Research, Salesforce",Customer Success Manager,Gap,Met,Partial,Met,Met,Partial,Partial,9,Needs Review
5 Years,M.Sc Data Science,"Stakeholder Management, Product Strategy, Public Speaking, Roadmapping",Business Analyst,Partial,Met,Met,Gap,Met,Gap,Gap,7,Needs Review
7 Years,B.A. Literature,"Salesforce, Power BI, Agile, UX Research, JIRA",Data Scientist,Partial,Gap,Gap,Gap,Gap,Partial,Gap,2,Likely Not a Fit
6 Years,B.Tech Computer Science,"Excel, UX Research, Product Design, Negotiation, Agile, Team Leadership, Artificial Intelligence",Project Coordinator,Partial,Met,Partial,Met,Met,Partial,Partial,10,Needs Review
14 Years,B.Com Economics,"Market Research, A/B Testing, Scrum, Excel, Communication, Product Strategy",Project Coordinator,Met,Partial,Met,Gap,Partial,Partial,Gap,7,Needs Review
7 Years,Diploma in Information Technology,"Communication, Public Speaking, Tableau, Market Research, Data Analytics, Project Management",Technical Product Manager,Partial,Partial,Partial,Partial,Partial,Partial,Partial,7,Needs Review
9 Years,M.Sc Data Science,"Project Management, Negotiation, A/B Testing, ML, Stakeholder Management, JIRA, UX Research, SQL",Senior Product Manager,Met,Met,Partial,Met,Met,Met,Met,13,Strong Fit
6 Years,B.Eng Industrial Engineering,"Stakeholder Management, Data Analysis, Confluence, Public Speaking, UX Research, Data Analytics",UX Designer,Partial,Met,Gap,Partial,Met,Met,Gap,8,Needs Review
13 Years,MBA,"SQL, Team Leadership, Product Strategy, JIRA, Business Intelligence, Public Speaking, Market Research, Scrum",Associate Product Manager,Met,Met,Met,Partial,Met,Met,Partial,12,Strong Fit
14 Years,B.Sc Computer Science,"Power BI, ML, Roadmapping, Project Management, Agile, Stakeholder Management",Associate Product Manager,Met,Met,Partial,Met,Met,Partial,Met,12,Strong Fit
4 Years,BA Sociology,"Public Speaking, Confluence, Customer Research, Excel, Salesforce",Software Engineer,Gap,Gap,Gap,Gap,Gap,Partial,Gap,1,Likely Not a Fit
12 Years,B.Sc Mathematics,"JIRA, Product Management, Team Leadership, Python, Business Intelligence, Confluence, Roadmapping, Customer Research",Associate Product Manager,Met,Partial,Met,Partial,Met,Met,Partial,11,Strong Fit
14 Years,M.Eng Software Engineering,"Confluence, Product Strategy, Customer Research, AI, Python, Agile, Collaboration",Group Product Manager,Met,Met,Met,Met,Partial,Met,Met,13,Strong Fit
4 Years,BA Sociology,"Public Speaking, Product Design, Scrum, A/B Testing, Collaboration",Business Analyst,Gap,Gap,Partial,Gap,Partial,Gap,Gap,2,Likely Not a Fit
1 Years,Diploma in Culinary Arts,"Data Analytics, Market Research, A/B Testing, Confluence",Business Analyst,Gap,Gap,Gap,Partial,Gap,Gap,Gap,1,Likely Not a Fit
0 Years,B.Sc Mathematics,"Scrum, Negotiation, Customer Research, Product Design, Agile",Data Engineer,Gap,Partial,Partial,Gap,Gap,Gap,Gap,2,Likely Not a Fit
8 Years,B.Tech Computer Science,"Product Strategy, Team Leadership, Negotiation, ML, Python, Salesforce",Senior Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
0 Years,BA Sociology,"Collaboration, SQL, Customer Research, Public Speaking, Product Strategy, Confluence, Roadmapping, Machine Learning",UX Designer,Gap,Gap,Met,Met,Partial,Met,Partial,8,Needs Review
0 Years,BA Fine Arts,"SQL, Customer Research, Data Analytics, Project Management, A/B Testing",Project Coordinator,Gap,Gap,Partial,Partial,Gap,Met,Gap,4,Likely Not a Fit
12 Years,B.Eng Industrial Engineering,"Agile, Product Management, Public Speaking, Collaboration, Excel, Data Analytics",Technical Product Manager,Met,Met,Met,Partial,Partial,Partial,Partial,10,Needs Review
3 Years,BA Fine Arts,"Negotiation, Collaboration, Business Intelligence, Customer Research",Business Analyst,Gap,Gap,Gap,Partial,Partial,Gap,Gap,2,Likely Not a Fit
9 Years,M.Eng Software Engineering,"Artificial Intelligence, Scrum, Communication, Market Research, Product Management, Customer Research, SQL",Product Manager,Met,Met,Met,Met,Partial,Met,Met,13,Strong Fit
4 Years,Diploma in Culinary Arts,"Agile, A/B Testing, Salesforce, Negotiation",Data Scientist,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
9 Years,B.Eng Industrial Engineering,"Public Speaking, Team Leadership, Python, Confluence, AI, Project Management",Data Scientist,Met,Met,Partial,Met,Met,Met,Partial,12,Strong Fit
10 Years,MBA,"Product Management, Market Research, Agile, JIRA, Excel",Sales Executive,Met,Met,Met,Gap,Gap,Partial,Gap,7,Needs Review
12 Years,M.Sc Statistics,"Statistics, Product Management, UX Research, Power BI, JIRA",UX Designer,Met,Partial,Met,Partial,Gap,Partial,Gap,7,Needs Review
8 Years,BA Sociology,"Product Design, Agile, Customer Research, Roadmapping, Team Leadership, Artificial Intelligence, Excel, Confluence",Operations Manager,Met,Gap,Partial,Met,Met,Partial,Partial,9,Needs Review
7 Years,M.Tech Computer Science,"Google Analytics, Product Design, Salesforce, Python, Team Leadership, Negotiation, ML, Roadmapping",Software Engineer,Partial,Met,Partial,Met,Met,Met,Partial,11,Strong Fit
4 Years,Bachelor of Hospitality Management,"Salesforce, Market Research, Communication, Roadmapping, Confluence",Business Analyst,Gap,Gap,Gap,Gap,Partial,Gap,Gap,1,Likely Not a Fit
4 Years,B.A. Literature,"Customer Research, Agile",Software Engineer,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
9 Years,M.A. Economics,"Business Intelligence, Public Speaking, Product Strategy, Salesforce, Data Analysis, JIRA, Stakeholder Management",Associate Product Manager,Met,Partial,Met,Partial,Met,Met,Partial,11,Strong Fit
0 Years,B.Eng Industrial Engineering,"Negotiation, Project Management, Google Analytics, ML, SQL",Associate Product Manager,Gap,Met,Partial,Met,Gap,Met,Met,9,Needs Review
1 Years,B.Sc Mathematics,"Confluence, Artificial Intelligence, Google Analytics, Collaboration, Agile",Group Product Manager,Gap,Partial,Gap,Met,Partial,Gap,Met,6,Needs Review
3 Years,M.Sc Statistics,"A/B Testing, Stakeholder Management, SQL, Data Science, UX Research, JIRA",Product Manager,Gap,Partial,Gap,Met,Met,Met,Met,9,Needs Review
9 Years,B.Tech Computer Science,"Power BI, Statistics, JIRA, UX Research, Confluence, Product Management",Customer Success Manager,Met,Met,Met,Partial,Gap,Partial,Gap,8,Needs Review
