Candidate ID,Experience,Qualifications,Skills,Prior Job Title
CAND-031,4 Years,B.Sc Mathematics,"Confluence, Product Strategy, Market Research, Business Intelligence, Negotiation, Team Leadership, Python",Associate Product Manager
CAND-032,3 Years,M.Sc Data Science,"ML, JIRA, Data Analysis, Negotiation, Agile, Product Strategy, Public Speaking, Stakeholder Management",Technical Product Manager
CAND-033,14 Years,MBA Business Administration,"ML, Roadmapping, Python, Public Speaking, Negotiation, Stakeholder Management, UX Research",Product Manager
CAND-034,6 Years,B.A. History,"Collaboration, Google Analytics, Data Science, Negotiation, Product Design, Python",Product Manager
CAND-035,10 Years,M.Sc Data Science,"Power BI, Public Speaking, Collaboration, Product Strategy, Salesforce, Scrum",Business Analyst
CAND-036,7 Years,Bachelor of Hospitality Management,"JIRA, Collaboration, Project Management, Public Speaking, Business Intelligence",Associate Product Manager
CAND-037,5 Years,B.A. History,"Stakeholder Management, Business Intelligence, SQL, Agile, Project Management, Salesforce, Scrum",Marketing Manager
CAND-038,14 Years,M.Sc Data Science,"Product Design, Market Research, Tableau, Salesforce, Public Speaking, Stakeholder Management, ML",Sales Executive
CAND-039,3 Years,BA Fine Arts,"Customer Research, A/B Testing, Google Analytics",UX Designer
CAND-040,1 Years,BA Sociology,"Negotiation, UX Research",Sales Executive
CAND-041,7 Years,M.Sc Statistics,"Public Speaking, Project Management, A/B Testing, Communication, Tableau, Confluence, Data Analytics",Associate Product Manager
CAND-042,7 Years,Diploma in Culinary Arts,"Roadmapping, Team Leadership, JIRA, Project Management, A/B Testing, UX Research, Python, ML",Data Analyst
CAND-043,7 Years,B.A. History,"A/B Testing, Customer Research, Team Leadership, Data Analytics",Data Analyst
CAND-044,7 Years,M.A. Economics,"Confluence, Google Analytics, Customer Research, Project Management, Machine Learning",Operations Manager
CAND-045,0 Years,B.A. Literature,"Market Research, Google Analytics",Data Engineer
CAND-046,13 Years,B.Sc Mathematics,"Public Speaking, Roadmapping, Tableau, Collaboration",Marketing Manager
CAND-047,6 Years,B.Sc Mathematics,"A/B Testing, Statistics, Project Management, Negotiation, Python",Sales Executive
CAND-048,12 Years,M.Sc Statistics,"Google Analytics, UX Research, Excel, Product Management, Collaboration, A/B Testing",Data Scientist
CAND-049,9 Years,Diploma in Information Technology,"Excel, Market Research, Roadmapping, Team Leadership, Public Speaking, Machine Learning",Data Engineer
CAND-050,7 Years,B.Sc Computer Science,"Google Analytics, Agile, UX Research, Artificial Intelligence, Project Management, Stakeholder Management",Group Product Manager
CAND-051,1 Years,BA Fine Arts,"JIRA, Scrum, Roadmapping, Power BI, Product Strategy",Senior Product Manager
CAND-052,1 Years,Diploma in Culinary Arts,"Business Intelligence, A/B Testing, Public Speaking",Data Engineer
CAND-053,3 Years,B.A. Literature,"Communication, JIRA, Excel, Confluence",Customer Success Manager
CAND-054,2 Years,MBA Business Administration,"Confluence, Product Strategy, Collaboration, Excel, ML, JIRA",Data Analyst
CAND-055,15 Years,BA Sociology,"ML, Confluence, Product Strategy, Negotiation, SQL, Public Speaking, Collaboration",Senior Product Manager
CAND-056,4 Years,B.Sc Physics,"Agile, Scrum, Data Analytics, Salesforce, Data Analysis, Public Speaking, Product Management, Team Leadership",Product Manager
CAND-057,2 Years,B.A. Literature,"A/B Testing, UX Research, Negotiation",Software Engineer
CAND-058,5 Years,Diploma in Culinary Arts,"A/B Testing, Google Analytics, JIRA, SQL, Roadmapping",Marketing Manager
CAND-059,6 Years,Diploma in Culinary Arts,"AI, Customer Research, Agile, Team Leadership, Salesforce, JIRA, Excel",Business Analyst
CAND-060,9 Years,BA Fine Arts,"Data Analytics, Team Leadership, Negotiation, Public Speaking, Power BI, Salesforce, Product Strategy, Customer Research",Group Product Manager
CAND-061,6 Years,B.Sc Computer Science,"ML, Team Leadership, Public Speaking, Python, Negotiation, Product Strategy",Associate Product Manager
CAND-062,14 Years,BA Sociology,"Scrum, Python, Product Management, Collaboration, Data Analytics, UX Research",Software Engineer
CAND-063,15 Years,B.A. History,"Google Analytics, A/B Testing, Agile, Communication",UX Designer
CAND-064,1 Years,B.Eng Industrial Engineering,"Roadmapping, Communication, Market Research, Product Management, Data Science",Product Manager
CAND-065,0 Years,MBA,"Project Management, Artificial Intelligence, Confluence, Agile, Collaboration, UX Research, A/B Testing",Sales Executive
CAND-066,12 Years,MBA,"JIRA, Google Analytics, Agile, Data Science, Team Leadership, Salesforce, Product Strategy",Business Analyst
CAND-067,10 Years,B.Tech Computer Science,"JIRA, Stakeholder Management, Machine Learning, Scrum, Python, Product Strategy, Confluence, Negotiation",Group Product Manager
CAND-068,6 Years,B.Sc Computer Science,"Excel, Stakeholder Management, UX Research, Data Science, Product Management, Scrum",Data Analyst
CAND-069,1 Years,Diploma in Culinary Arts,"Negotiation, Scrum, Google Analytics, Statistics, SQL, Product Management",Senior Product Manager
CAND-070,4 Years,Diploma in Information Technology,"Market Research, UX Research, JIRA, A/B Testing",Project Coordinator
CAND-071,12 Years,Diploma in Information Technology,"Team Leadership, Confluence, Salesforce, Data Analysis, JIRA, Product Strategy, Data Science, UX Research",Technical Product Manager
CAND-072,0 Years,B.A. History,"Excel, Confluence, Agile, Market Research, Project Management, A/B Testing",Business Analyst
CAND-073,9 Years,B.Com Economics,"Public Speaking, Product Management, AI, A/B Testing, Salesforce, Agile, Team Leadership, Data Analysis",Group Product Manager
CAND-074,15 Years,M.A. Economics,"Product Strategy, Artificial Intelligence, Confluence, Roadmapping, Collaboration, Tableau",Project Coordinator
CAND-075,8 Years,B.Sc Computer Science,"Product Management, Salesforce, Google Analytics, ML, Python",Associate Product Manager
CAND-076,2 Years,B.A. Literature,"Scrum, Public Speaking, A/B Testing, Agile",Customer Success Manager
CAND-077,2 Years,M.Tech Computer Science,"Agile, Project Management, JIRA, Salesforce, Scrum",Data Scientist
CAND-078,1 Years,B.Sc Mathematics,"SQL, Project Management, Confluence, Public Speaking, Agile, Roadmapping, Data Analytics",Data Scientist
CAND-079,11 Years,B.Com Economics,"Data Science, Communication, JIRA, Google Analytics, Product Strategy",Business Analyst
CAND-080,2 Years,Diploma in Culinary Arts,"Salesforce, Project Management, A/B Testing, Negotiation, Business Intelligence, Public Speaking, Tableau",Data Analyst
CAND-081,1 Years,B.Sc Physics,"UX Research, Roadmapping",Software Engineer
CAND-082,1 Years,B.Sc Mathematics,"Negotiation, Data Analytics, Public Speaking",UX Designer
CAND-083,8 Years,M.Sc Statistics,"UX Research, Product Strategy, Scrum, Collaboration, Business Intelligence",Associate Product Manager
CAND-084,0 Years,B.Com Economics,"Salesforce, Scrum, JIRA, Public Speaking, Communication",Customer Success Manager
CAND-085,14 Years,B.Sc Physics,"Excel, Agile, Confluence, Stakeholder Management, Customer Research",Marketing Manager
CAND-086,2 Years,B.Com Economics,"Confluence, Communication, SQL, Customer Research",Group Product Manager
CAND-087,5 Years,M.Tech Computer Science,"Agile, Collaboration, Scrum, Project Management, Python",Technical Product Manager
CAND-088,0 Years,B.A. Literature,"Power BI, Google Analytics, Roadmapping, Scrum, Negotiation, Business Intelligence",Data Scientist
CAND-089,12 Years,MBA,"JIRA, UX Research, Data Analytics, SQL, Stakeholder Management, Product Management",Senior Product Manager
CAND-090,7 Years,B.A. History,"Customer Research, Salesforce, Negotiation",UX Designer
CAND-091,14 Years,B.Sc Computer Science,"Negotiation, AI, UX Research, Stakeholder Management, SQL, Product Design, A/B Testing",Associate Product Manager
CAND-092,5 Years,B.Com Economics,"Product Management, JIRA, Confluence, Data Analytics, UX Research, Team Leadership, Scrum",Technical Product Manager
CAND-093,15 Years,B.Eng Industrial Engineering,"Scrum, Team Leadership, AI, Product Management, Python, Market Research",Associate Product Manager
CAND-094,14 Years,BA Sociology,"Agile, Product Strategy, Confluence, Team Leadership, Roadmapping, ML, Power BI, Public Speaking",Product Manager
CAND-095,6 Years,M.Sc Statistics,"Tableau, Statistics, Product Design, Scrum, Market Research",Associate Product Manager
CAND-096,4 Years,MBA Business Administration,"Negotiation, Team Leadership, UX Research, Public Speaking, Project Management, Tableau, A/B Testing",Business Analyst
CAND-097,10 Years,B.A. History,"Customer Research, A/B Testing, Market Research, Business Intelligence, Roadmapping, SQL",Senior Product Manager
CAND-098,7 Years,B.Eng Industrial Engineering,"Stakeholder Management, Data Analysis, Scrum, AI, UX Research, Customer Research, Product Design",Group Product Manager
CAND-099,13 Years,B.A. History,"Stakeholder Management, Product Design, Market Research, SQL, Google Analytics, ML",Product Manager
CAND-100,6 Years,B.A. Literature,"UX Research, Customer Research, Business Intelligence, Roadmapping, Market Research",Customer Success Manager
CAND-101,14 Years,Diploma in Information Technology,"Data Analytics, Product Management, Tableau, Negotiation, Public Speaking, JIRA, Confluence",Customer Success Manager
CAND-102,4 Years,B.A. History,"Agile, Negotiation",Sales Executive
CAND-103,14 Years,MBA,"Google Analytics, Salesforce, Scrum, Public Speaking, Tableau",UX Designer
CAND-104,6 Years,B.Com Economics,"Data Science, Roadmapping, Salesforce, Product Strategy, Data Analysis, Team Leadership",Associate Product Manager
CAND-105,0 Years,Diploma in Culinary Arts,"Market Research, Public Speaking, Project Management",Sales Executive
CAND-106,7 Years,M.Sc Data Science,"Team Leadership, Market Research, UX Research, Project Management, Confluence, Statistics",Senior Product Manager
CAND-107,1 Years,BA Sociology,"Public Speaking, Data Analytics, Communication, Roadmapping",Data Scientist
CAND-108,10 Years,M.A. Economics,"Roadmapping, Public Speaking, Product Strategy, Business Intelligence, Power BI, Google Analytics, Market Research",Marketing Manager
CAND-109,3 Years,B.A. Literature,"Artificial Intelligence, Excel, Negotiation, Collaboration, Salesforce",UX Designer
CAND-110,2 Years,MBA,"Market Research, Scrum, Statistics, Salesforce, Stakeholder Management, Agile, Excel",Group Product Manager
CAND-111,10 Years,MBA Business Administration,"ML, A/B Testing, Product Management, Public Speaking, Stakeholder Management, Data Analysis, Confluence",Senior Product Manager
CAND-112,11 Years,Diploma in Culinary Arts,"Product Management, Power BI, Agile, Data Analytics, Public Speaking, Scrum, Stakeholder Management",Associate Product Manager
CAND-113,5 Years,BA Fine Arts,"Data Analytics, Product Management, Scrum, Salesforce, Agile, Communication, Tableau, UX Research",Associate Product Manager
CAND-114,14 Years,B.Sc Physics,"Agile, Data Science, Negotiation, Google Analytics, Stakeholder Management, Market Research, Product Strategy",Associate Product Manager
CAND-115,5 Years,BA Fine Arts,"Product Strategy, A/B Testing, Scrum, Stakeholder Management, Excel, Agile",Data Engineer
CAND-116,6 Years,B.Tech Computer Science,"Confluence, JIRA, Project Management, Roadmapping, Team Leadership, Python, Customer Research",Data Engineer
CAND-117,8 Years,Diploma in Information Technology,"JIRA, Communication, Google Analytics, Customer Research, UX Research, Power BI",Product Manager
CAND-118,1 Years,Diploma in Culinary Arts,"Team Leadership, Public Speaking, Business Intelligence, Scrum, Data Analysis, Roadmapping",Sales Executive
CAND-119,12 Years,B.Sc Computer Science,"Product Management, Team Leadership, Data Analysis, Salesforce, Artificial Intelligence, Agile",Senior Product Manager
CAND-120,14 Years,B.Com Economics,"Market Research, Communication, Product Design, Negotiation, Google Analytics, Business Intelligence, Roadmapping, SQL",Sales Executive
CAND-121,6 Years,M.Tech Computer Science,"Confluence, Collaboration, Statistics, Roadmapping, Market Research, Product Strategy",Sales Executive
CAND-122,12 Years,M.Sc Data Science,"Public Speaking, SQL, Scrum, Product Strategy, Stakeholder Management, Google Analytics",Associate Product Manager
CAND-123,4 Years,BA Fine Arts,"ML, Collaboration, Scrum, Product Management, Data Analysis, Google Analytics, Negotiation",UX Designer
CAND-124,6 Years,B.Sc Computer Science,"Confluence, Product Management, Team Leadership, SQL, ML, A/B Testing, Negotiation, Scrum",Group Product Manager
CAND-125,6 Years,BA Fine Arts,"Salesforce, Scrum, Statistics",Software Engineer
CAND-126,5 Years,M.Tech Computer Science,"Roadmapping, Scrum, Data Science, SQL, Product Strategy",Data Analyst
CAND-127,7 Years,B.A. Literature,"Power BI, A/B Testing, UX Research, JIRA, Communication, Product Management, Salesforce",Technical Product Manager
CAND-128,5 Years,M.Eng Software Engineering,"Communication, Salesforce, Google Analytics, Negotiation, Product Design, Tableau, Confluence, Statistics",Business Analyst
CAND-129,12 Years,Bachelor of Hospitality Management,"JIRA, Confluence, A/B Testing, Project Management, Power BI",Marketing Manager
CAND-130,4 Years,B.A. Literature,"Scrum, Customer Research, Tableau, Google Analytics",Software Engineer
CAND-131,1 Years,M.A. Economics,"Collaboration, Agile, Confluence, Negotiation",Software Engineer
CAND-132,5 Years,M.Sc Statistics,"Scrum, UX Research, Customer Research, JIRA, Communication, Python, Project Management, ML",Customer Success Manager
CAND-133,7 Years,B.A. History,"UX Research, Stakeholder Management, Project Management, Negotiation, Business Intelligence, Data Analysis",Data Scientist
CAND-134,1 Years,B.Sc Mathematics,"Data Analytics, Collaboration, SQL, A/B Testing, JIRA",Data Analyst
CAND-135,13 Years,B.Com Economics,"Market Research, Team Leadership, Scrum, Business Intelligence, Tableau, Product Management, Google Analytics",Marketing Manager
CAND-136,4 Years,Bachelor of Hospitality Management,"Data Analytics, Public Speaking, UX Research, A/B Testing, Customer Research",Data Engineer
CAND-137,7 Years,M.A. Economics,"Excel, UX Research, Product Strategy, AI, Stakeholder Management, Public Speaking",Product Manager
CAND-138,3 Years,M.A. Economics,"Negotiation, Product Management, Data Analysis, A/B Testing, Roadmapping, Market Research",UX Designer
CAND-139,1 Years,B.A. History,"Agile, Confluence, JIRA, Machine Learning, Product Strategy, Communication, Negotiation",Senior Product Manager
CAND-140,9 Years,B.Sc Computer Science,"Market Research, Customer Research, Python, Artificial Intelligence, Product Management, Stakeholder Management",Technical Product Manager
CAND-141,5 Years,MBA Business Administration,"Project Management, Artificial Intelligence, Python, Collaboration, Agile, Google Analytics",Operations Manager
CAND-142,5 Years,B.Sc Physics,"Agile, ML, Excel, Product Design, UX Research, JIRA",Software Engineer
CAND-143,5 Years,B.Com Economics,"ML, Negotiation, Google Analytics, Scrum, Salesforce, SQL, Stakeholder Management, Product Design",Senior Product Manager
CAND-144,7 Years,B.A. History,"JIRA, Project Management, Team Leadership, Agile, Confluence, Public Speaking, SQL",Data Analyst
CAND-145,4 Years,BA Fine Arts,"Product Design, Google Analytics, Customer Research, Confluence, JIRA",Data Analyst
CAND-146,2 Years,B.Sc Physics,"Agile, Customer Research, Confluence",Data Engineer
CAND-147,3 Years,B.A. History,"Agile, JIRA, Collaboration, Google Analytics, Salesforce",Software Engineer
CAND-148,10 Years,M.Sc Statistics,"Stakeholder Management, Artificial Intelligence, Product Strategy, Salesforce, Public Speaking, Python",Associate Product Manager
CAND-149,6 Years,MBA Business Administration,"A/B Testing, ML, Confluence, Collaboration",Data Scientist
CAND-150,1 Years,BA Fine Arts,"JIRA, Scrum, Market Research, Project Management",Data Analyst
CAND-151,15 Years,M.Sc Data Science,"Data Analytics, Stakeholder Management, Project Management, Agile, Roadmapping",Associate Product Manager
CAND-152,15 Years,M.Sc Data Science,"Product Strategy, Data Analysis, Communication, Public Speaking, JIRA, Data Science",Senior Product Manager
CAND-153,9 Years,B.Tech Computer Science,"UX Research, Machine Learning, Stakeholder Management, Negotiation, Product Strategy, Market Research, Roadmapping, Python",Data Engineer
CAND-154,1 Years,M.Eng Software Engineering,"Agile, Product Management, Google Analytics, Machine Learning",Operations Manager
CAND-155,1 Years,MBA Business Administration,"JIRA, Stakeholder Management, Salesforce, Machine Learning, Project Management, Scrum, SQL",Product Manager
CAND-156,0 Years,M.Tech Computer Science,"Data Science, Salesforce, Project Management, Negotiation, Confluence, Public Speaking, Collaboration, Tableau",Product Manager
CAND-157,1 Years,B.Sc Mathematics,"Data Analytics, UX Research, A/B Testing, Market Research",Marketing Manager
CAND-158,14 Years,BA Sociology,"JIRA, Business Intelligence, Product Design, Salesforce",Marketing Manager
CAND-159,6 Years,MBA,"ML, Roadmapping, UX Research, Communication, Salesforce, Power BI, Customer Research",Senior Product Manager
CAND-160,14 Years,B.Sc Mathematics,"Tableau, A/B Testing, Customer Research, Product Management",Senior Product Manager
CAND-161,0 Years,BA Sociology,"Project Management, Negotiation, Roadmapping",Customer Success Manager
CAND-162,5 Years,B.Sc Mathematics,"Public Speaking, Data Analysis, Scrum, Product Design, Google Analytics, Confluence, Stakeholder Management, Business Intelligence",Data Engineer
CAND-163,2 Years,M.Sc Statistics,"UX Research, Agile, Confluence, JIRA",UX Designer
CAND-164,7 Years,BA Fine Arts,"SQL, Project Management, Data Science, Salesforce, JIRA",Sales Executive
CAND-165,0 Years,BA Sociology,"Data Analytics, Agile, Excel, Public Speaking, Salesforce, Scrum",Data Scientist
CAND-166,11 Years,MBA,"Collaboration, Excel, Market Research, Product Management, Salesforce",Senior Product Manager
CAND-167,5 Years,BA Sociology,"UX Research, Project Management, Statistics, Customer Research, JIRA",Customer Success Manager
CAND-168,10 Years,B.Eng Industrial Engineering,"A/B Testing, Market Research, Roadmapping, Data Analytics, Product Strategy, Team Leadership, Agile, Python",Group Product Manager
CAND-169,9 Years,B.Eng Industrial Engineering,"Market Research, Project Management, Power BI, Negotiation, Salesforce, Data Analytics",Marketing Manager
CAND-170,10 Years,M.Tech Computer Science,"Public Speaking, Data Analytics, Agile, Collaboration",Product Manager
CAND-171,11 Years,B.Sc Mathematics,"Agile, Data Science, Stakeholder Management, Product Design, JIRA, Excel, Negotiation",Business Analyst
CAND-172,0 Years,Bachelor of Hospitality Management,"JIRA, Customer Research, Google Analytics",Data Scientist
CAND-173,9 Years,M.A. Economics,"Collaboration, UX Research, Salesforce, SQL, Product Design, AI",Associate Product Manager
CAND-174,12 Years,Diploma in Information Technology,"Stakeholder Management, Salesforce, Agile, Data Analysis, Project Management, JIRA, AI",UX Designer
CAND-175,9 Years,MBA Business Administration,"Product Strategy, A/B Testing, Scrum, Public Speaking, Python, AI, Team Leadership",Associate Product Manager
CAND-176,1 Years,M.A. Economics,"Customer Research, Data Analysis, Product Strategy, Market Research, Data Analytics, Collaboration",Business Analyst
CAND-177,1 Years,BA Sociology,"Confluence, Communication, Business Intelligence, Product Management, Agile",Associate Product Manager
CAND-178,10 Years,B.Com Economics,"Project Management, Excel, A/B Testing, Market Research, Collaboration, Scrum, Data Analytics, Public Speaking",UX Designer
CAND-179,2 Years,M.Sc Statistics,"Roadmapping, Artificial Intelligence, Salesforce, Project Management, Collaboration, Data Analysis",Senior Product Manager
CAND-180,13 Years,B.Sc Mathematics,"Public Speaking, ML, Product Strategy, Customer Research, Negotiation, Communication",Associate Product Manager
CAND-181,5 Years,BA Sociology,"Market Research, Product Strategy, Agile, Statistics, UX Research",Customer Success Manager
CAND-182,3 Years,B.A. Literature,"Salesforce, Public Speaking, Confluence",Data Analyst
CAND-183,3 Years,B.Sc Mathematics,"Scrum, Roadmapping, SQL, JIRA, Public Speaking, Team Leadership",Marketing Manager
CAND-184,4 Years,MBA Business Administration,"Product Strategy, Collaboration, Python, Confluence, UX Research, JIRA",Business Analyst
CAND-185,0 Years,Diploma in Information Technology,"Negotiation, Public Speaking, Team Leadership",Operations Manager
CAND-186,0 Years,BA Fine Arts,"A/B Testing, Confluence, Google Analytics, Project Management, Public Speaking, Statistics",Business Analyst
CAND-187,7 Years,M.Eng Software Engineering,"Public Speaking, Negotiation, A/B Testing, ML, Team Leadership, Power BI, Roadmapping, Project Management",Business Analyst
CAND-188,12 Years,B.Sc Mathematics,"Python, Public Speaking, Product Management, Customer Research, Collaboration, Market Research, Business Intelligence, Negotiation",Project Coordinator
CAND-189,2 Years,B.A. Literature,"Roadmapping, JIRA, Public Speaking, Google Analytics",Business Analyst
CAND-190,5 Years,MBA,"Google Analytics, Roadmapping, Project Management, Excel, Team Leadership, Data Analytics",Business Analyst
CAND-191,6 Years,M.Sc Data Science,"UX Research, Collaboration, Artificial Intelligence, A/B Testing, Customer Research, Google Analytics, Product Strategy",Product Manager
CAND-192,2 Years,Bachelor of Hospitality Management,"A/B Testing, UX Research, Power BI",Marketing Manager
CAND-193,1 Years,BA Fine Arts,"Agile, Scrum, Machine Learning, Confluence, Market Research",Project Coordinator
CAND-194,5 Years,B.Sc Computer Science,"Project Management, Customer Research, Negotiation, Scrum, SQL, Salesforce",Data Engineer
CAND-195,4 Years,BA Sociology,"Negotiation, Public Speaking, SQL, Business Intelligence, Product Strategy",Senior Product Manager
CAND-196,12 Years,BA Fine Arts,"Communication, Customer Research, Agile, Product Strategy, Scrum, ML, Market Research",Customer Success Manager
CAND-197,6 Years,B.Sc Physics,"Communication, Tableau, ML, Market Research, Negotiation, Product Design",Associate Product Manager
CAND-198,11 Years,Bachelor of Hospitality Management,"Stakeholder Management, Salesforce, UX Research, Power BI, Data Analytics, Scrum, Product Management",Technical Product Manager
CAND-199,15 Years,M.Eng Software Engineering,"Salesforce, Artificial Intelligence, Customer Research, Stakeholder Management, Project Management",Sales Executive
CAND-200,4 Years,B.Tech Computer Science,"Stakeholder Management, Google Analytics, UX Research, Customer Research, Roadmapping, AI, Product Design, Power BI",Product Manager
CAND-201,6 Years,M.Sc Data Science,"Scrum, Communication, Product Design, Excel, Agile, Statistics",Group Product Manager
CAND-202,3 Years,B.A. History,"Negotiation, JIRA, Excel, Agile",Project Coordinator
CAND-203,6 Years,B.Sc Physics,"Confluence, Negotiation, Market Research, Stakeholder Management, Tableau, Data Analytics, Product Management",Technical Product Manager
CAND-204,9 Years,M.Eng Software Engineering,"Salesforce, Data Analytics, Negotiation, Product Management",Data Analyst
CAND-205,1 Years,Bachelor of Hospitality Management,"Salesforce, Roadmapping",Data Analyst
CAND-206,6 Years,B.Com Economics,"UX Research, Negotiation, Stakeholder Management, Agile, Business Intelligence",Software Engineer
CAND-207,7 Years,B.A. History,"Roadmapping, A/B Testing, Agile, Product Design",UX Designer
CAND-208,6 Years,B.Sc Mathematics,"Communication, Salesforce, Google Analytics, Product Management, A/B Testing, SQL",Data Scientist
CAND-209,11 Years,M.Tech Computer Science,"Statistics, Roadmapping, Stakeholder Management, Confluence",Product Manager
CAND-210,11 Years,M.Tech Computer Science,"Data Analytics, Customer Research, Python, Roadmapping, Confluence, Team Leadership, Salesforce",Technical Product Manager
CAND-211,2 Years,B.Eng Industrial Engineering,"UX Research, Roadmapping, Tableau, Product Management, Salesforce, Customer Research, Artificial Intelligence, Stakeholder Management",Software Engineer
CAND-212,7 Years,BA Sociology,"Project Management, Business Intelligence, Python, Google Analytics, A/B Testing",Sales Executive
CAND-213,4 Years,B.Tech Computer Science,"Data Analysis, Stakeholder Management, Product Management, Roadmapping, AI, Negotiation",Senior Product Manager
CAND-214,2 Years,M.Eng Software Engineering,"Excel, Team Leadership, Market Research, UX Research, Roadmapping, Project Management",Project Coordinator
CAND-215,8 Years,B.Com Economics,"Communication, UX Research, Confluence, Project Management, Data Analytics",Technical Product Manager
CAND-216,6 Years,M.Eng Software Engineering,"JIRA, Agile, UX Research, Python, Scrum, Product Strategy",Product Manager
CAND-217,11 Years,B.A. History,"Scrum, SQL, Business Intelligence, Product Strategy, A/B Testing, UX Research",Product Manager
CAND-218,11 Years,M.Sc Data Science,"SQL, Product Design, UX Research, Customer Research, Google Analytics, Team Leadership, AI",Operations Manager
CAND-219,11 Years,B.Sc Physics,"Data Science, Public Speaking, Product Strategy, Customer Research, Stakeholder Management, Tableau",Associate Product Manager
CAND-220,3 Years,B.Sc Mathematics,"Google Analytics, Agile, Python, Product Management, Team Leadership, Data Analytics, Public Speaking, A/B Testing",Group Product Manager
CAND-221,2 Years,BA Fine Arts,"Salesforce, Roadmapping, Stakeholder Management",Sales Executive
CAND-222,4 Years,BA Sociology,"Collaboration, Salesforce, Public Speaking, JIRA, A/B Testing, Project Management",UX Designer
CAND-223,5 Years,M.Eng Software Engineering,"A/B Testing, Business Intelligence, JIRA, Confluence, Stakeholder Management, SQL, Product Strategy",Data Scientist
CAND-224,2 Years,MBA,"Team Leadership, Product Strategy, SQL, Customer Research, Agile",Technical Product Manager
