Candidate ID,Experience,Qualifications,Skills,Prior Job Title
CAND-061,5 Years,Diploma in Culinary Arts,"Data Analytics, Salesforce, Public Speaking, Team Leadership, Confluence, Project Management, Data Analysis",Software Engineer
CAND-062,2 Years,Diploma in Culinary Arts,"Communication, Agile, UX Research, Python, Public Speaking, Product Design, JIRA",Customer Success Manager
CAND-063,2 Years,BA Sociology,"Public Speaking, Business Intelligence, Google Analytics, UX Research, Salesforce",Project Coordinator
CAND-064,4 Years,MBA Business Administration,"SQL, Stakeholder Management, Negotiation, ML, Salesforce, Product Strategy, A/B Testing",Product Manager
CAND-065,15 Years,M.Tech Computer Science,"Salesforce, A/B Testing, Communication, Python, Business Intelligence, Product Design",Data Scientist
CAND-066,8 Years,M.Sc Data Science,"Project Management, Machine Learning, Salesforce, Google Analytics, Agile, Data Analysis, Stakeholder Management",Associate Product Manager
CAND-067,12 Years,MBA,"Machine Learning, Roadmapping, Product Management, Stakeholder Management, Public Speaking, Python, Customer Research",Sales Executive
CAND-068,10 Years,M.Sc Data Science,"Machine Learning, SQL, Scrum, JIRA, Team Leadership, Agile, Confluence, Product Strategy",Marketing Manager
CAND-069,14 Years,Diploma in Information Technology,"Team Leadership, Market Research, Public Speaking, Project Management, JIRA, Google Analytics, Power BI",Associate Product Manager
CAND-070,6 Years,Diploma in Culinary Arts,"Google Analytics, Salesforce, Scrum, Power BI",Operations Manager
CAND-071,4 Years,Diploma in Culinary Arts,"JIRA, Scrum",Marketing Manager
CAND-072,5 Years,BA Fine Arts,"Customer Research, Statistics, UX Research, Collaboration, Power BI, Roadmapping, Scrum",Business Analyst
CAND-073,6 Years,B.Sc Physics,"Confluence, Tableau, Agile, JIRA, Customer Research, Product Strategy",Business Analyst
CAND-074,7 Years,M.Eng Software Engineering,"Negotiation, Stakeholder Management, A/B Testing, Product Management, UX Research, Data Analysis, Statistics",Associate Product Manager
CAND-075,0 Years,B.Sc Physics,"Machine Learning, Communication, Public Speaking, UX Research, Google Analytics, Tableau, Product Strategy, A/B Testing",Data Engineer
CAND-076,2 Years,BA Fine Arts,"Stakeholder Management, Tableau, Product Design, Market Research, Agile, Salesforce, AI, A/B Testing",Technical Product Manager
CAND-077,4 Years,B.Eng Industrial Engineering,"Data Analytics, Power BI, Public Speaking, A/B Testing, Stakeholder Management, Salesforce, Project Management",Operations Manager
CAND-078,11 Years,B.Sc Mathematics,"Power BI, Roadmapping, Product Design, ML, UX Research",Software Engineer
CAND-079,7 Years,B.A. Literature,"Excel, A/B Testing, Market Research",Product Manager
CAND-080,6 Years,B.Tech Computer Science,"Statistics, Tableau, Agile, Roadmapping, Collaboration, Project Management",Product Manager
CAND-081,9 Years,M.Sc Data Science,"SQL, Product Management, Roadmapping, Scrum, Artificial Intelligence, Confluence",Product Manager
CAND-082,3 Years,M.Tech Computer Science,"Customer Research, Product Management, Salesforce, A/B Testing, Machine Learning, JIRA, Team Leadership",Group Product Manager
CAND-083,8 Years,MBA Business Administration,"UX Research, Salesforce, Confluence, Scrum, Python, Stakeholder Management, Project Management",Product Manager
CAND-084,8 Years,M.Sc Statistics,"Public Speaking, AI, Project Management, Confluence, Team Leadership, Agile, Excel, Customer Research",Data Engineer
CAND-085,15 Years,B.Tech Computer Science,"Data Analysis, Customer Research, Business Intelligence, JIRA, Product Management, Stakeholder Management",Senior Product Manager
CAND-086,13 Years,B.Sc Computer Science,"Market Research, SQL, Data Analytics, A/B Testing, JIRA, Customer Research",UX Designer
CAND-087,10 Years,B.Tech Computer Science,"Product Strategy, A/B Testing, Market Research, UX Research, Python, Stakeholder Management",Operations Manager
CAND-088,0 Years,MBA,"SQL, Statistics, JIRA, Stakeholder Management, Product Management, Confluence",UX Designer
CAND-089,5 Years,M.Tech Computer Science,"UX Research, Product Management, Business Intelligence, Collaboration, Negotiation",Data Analyst
CAND-090,12 Years,B.Sc Physics,"Data Science, UX Research, A/B Testing, Excel, Product Design, Stakeholder Management, Customer Research",UX Designer
CAND-091,5 Years,M.A. Economics,"Agile, AI, Python, Product Design, UX Research, Collaboration",Data Scientist
CAND-092,3 Years,B.A. Literature,"Google Analytics, Market Research, UX Research",Customer Success Manager
CAND-093,11 Years,B.Tech Computer Science,"Salesforce, Statistics, Confluence, Team Leadership, Product Management, Negotiation",UX Designer
CAND-094,1 Years,BA Sociology,"Confluence, Google Analytics, Market Research",UX Designer
CAND-095,12 Years,B.Sc Computer Science,"Product Strategy, JIRA, Team Leadership, Salesforce, SQL, Agile, Confluence, ML",Technical Product Manager
CAND-096,0 Years,MBA Business Administration,"Scrum, Market Research, Product Strategy, Python, Statistics",Business Analyst
CAND-097,9 Years,B.Eng Industrial Engineering,"SQL, Salesforce, Customer Research, Product Strategy, Team Leadership",Technical Product Manager
CAND-098,6 Years,M.Sc Statistics,"Business Intelligence, Market Research, UX Research, Product Design, Python",Project Coordinator
CAND-099,3 Years,Diploma in Culinary Arts,"Scrum, Public Speaking, Project Management, Customer Research, Machine Learning, Salesforce",Operations Manager
CAND-100,10 Years,B.A. History,"Communication, JIRA, Confluence, Google Analytics, Public Speaking",Customer Success Manager
CAND-101,4 Years,B.A. History,"ML, Data Analysis, Scrum, Negotiation, Product Strategy, Salesforce, Customer Research, Communication",Operations Manager
CAND-102,2 Years,BA Sociology,"Collaboration, Agile, Negotiation, Market Research, A/B Testing",UX Designer
CAND-103,8 Years,Diploma in Information Technology,"Roadmapping, Salesforce, Product Management, Data Science",Technical Product Manager
CAND-104,5 Years,M.Sc Data Science,"Project Management, Customer Research, Public Speaking, UX Research, Collaboration, Data Science, Python",Sales Executive
CAND-105,1 Years,Diploma in Information Technology,"Product Management, JIRA, Collaboration, Data Analytics, Python, Google Analytics",Data Scientist
CAND-106,7 Years,BA Fine Arts,"Collaboration, Excel, Customer Research, Product Design, Confluence, Market Research",UX Designer
CAND-107,11 Years,B.Eng Industrial Engineering,"Product Management, Python, Google Analytics, JIRA, Stakeholder Management, Confluence, Roadmapping, AI",Senior Product Manager
CAND-108,6 Years,B.Com Economics,"AI, Power BI, Agile, Communication, A/B Testing, Product Design, Google Analytics",Data Engineer
CAND-109,7 Years,B.Com Economics,"Roadmapping, Collaboration, Negotiation, Project Management, Google Analytics, UX Research, Power BI",Product Manager
CAND-110,0 Years,B.Eng Industrial Engineering,"SQL, Public Speaking, Project Management, Business Intelligence, Customer Research, Google Analytics, Communication",Data Analyst
CAND-111,7 Years,B.A. Literature,"Product Strategy, Power BI, Team Leadership, Negotiation, Google Analytics, A/B Testing, Data Science",Group Product Manager
CAND-112,3 Years,Bachelor of Hospitality Management,"Agile, JIRA, Product Strategy, Artificial Intelligence, A/B Testing, SQL, Collaboration, Confluence",Senior Product Manager
CAND-113,14 Years,BA Fine Arts,"SQL, Stakeholder Management, UX Research, A/B Testing, Customer Research, Product Strategy, AI",Marketing Manager
CAND-114,2 Years,MBA,"Customer Research, Product Management, Scrum, Statistics, Collaboration, Tableau, Roadmapping, A/B Testing",Group Product Manager
CAND-115,10 Years,M.Eng Software Engineering,"Negotiation, Confluence, Scrum, Artificial Intelligence, Product Management, Communication, A/B Testing",Customer Success Manager
CAND-116,6 Years,B.Com Economics,"A/B Testing, UX Research, Data Analysis, Team Leadership, Negotiation, Agile, Project Management",Senior Product Manager
CAND-117,0 Years,BA Fine Arts,"Salesforce, Communication, Market Research, JIRA, Scrum, Business Intelligence",Data Engineer
CAND-118,12 Years,B.Tech Computer Science,"Confluence, Google Analytics, Scrum, Python, A/B Testing",Technical Product Manager
CAND-119,6 Years,B.A. Literature,"JIRA, Customer Research, Google Analytics",Product Manager
CAND-120,11 Years,B.Sc Physics,"Product Management, Salesforce, Machine Learning, Confluence, Team Leadership, SQL, Agile",Product Manager
CAND-121,7 Years,Bachelor of Hospitality Management,"Google Analytics, Team Leadership, A/B Testing, UX Research, SQL, JIRA",UX Designer
CAND-122,13 Years,MBA,"Power BI, Machine Learning, A/B Testing, Roadmapping, Communication, Google Analytics, Agile",UX Designer
CAND-123,14 Years,B.Eng Industrial Engineering,"Product Strategy, Artificial Intelligence, A/B Testing, Data Analysis, Roadmapping, Stakeholder Management, Confluence, UX Research",Group Product Manager
CAND-124,14 Years,B.Sc Physics,"JIRA, Public Speaking, Roadmapping, Artificial Intelligence, Python, Team Leadership",Operations Manager
CAND-125,5 Years,M.Sc Statistics,"Product Management, Data Analysis, Team Leadership, Agile, Google Analytics, Statistics",Senior Product Manager
CAND-126,1 Years,BA Sociology,"UX Research, Confluence, Excel, Statistics, Product Design, Roadmapping, Public Speaking",UX Designer
CAND-127,6 Years,B.Sc Physics,"Python, ML, Collaboration, Confluence, Product Design, Roadmapping",Software Engineer
CAND-128,8 Years,M.Sc Statistics,"Roadmapping, SQL, Public Speaking, Statistics, Collaboration, Product Strategy",Group Product Manager
CAND-129,10 Years,B.Sc Mathematics,"Market Research, Data Analytics, A/B Testing, Roadmapping, Stakeholder Management, Tableau, Project Management, Confluence",Associate Product Manager
CAND-130,9 Years,B.Sc Physics,"Business Intelligence, Scrum, Power BI, Stakeholder Management, Market Research, Product Management, JIRA",Software Engineer
CAND-131,10 Years,B.Sc Computer Science,"Salesforce, Market Research, Stakeholder Management, Public Speaking, AI, Python, Product Strategy",Senior Product Manager
CAND-132,10 Years,M.A. Economics,"Product Design, Roadmapping, Collaboration, JIRA, Market Research",Product Manager
CAND-133,11 Years,B.Tech Computer Science,"Team Leadership, Product Strategy, SQL, Scrum, Negotiation, Statistics",Technical Product Manager
CAND-134,3 Years,M.Sc Statistics,"Scrum, Roadmapping, Statistics",Data Engineer
CAND-135,8 Years,M.Tech Computer Science,"Project Management, Customer Research, Tableau, Stakeholder Management, Salesforce, UX Research, Agile",Project Coordinator
CAND-136,13 Years,M.Tech Computer Science,"Team Leadership, Roadmapping, Statistics, SQL, Confluence, UX Research, Negotiation, Product Design",Customer Success Manager
CAND-137,3 Years,BA Sociology,"UX Research, Market Research, Tableau, JIRA, Communication, A/B Testing",Project Coordinator
CAND-138,7 Years,BA Fine Arts,"Roadmapping, Customer Research, Market Research, JIRA, Product Design, AI",Senior Product Manager
CAND-139,5 Years,BA Fine Arts,"Machine Learning, Product Design, Team Leadership, Roadmapping, Excel, Agile",Data Analyst
CAND-140,3 Years,BA Sociology,"Public Speaking, Stakeholder Management, Salesforce, A/B Testing, Negotiation, Tableau",Marketing Manager
CAND-141,14 Years,BA Sociology,"JIRA, Scrum, Product Strategy, Team Leadership, Market Research, Confluence, Machine Learning",Operations Manager
CAND-142,3 Years,B.Sc Computer Science,"Data Science, A/B Testing, Team Leadership, JIRA, Project Management, Data Analysis, Confluence",Technical Product Manager
CAND-143,4 Years,M.Sc Statistics,"Confluence, Salesforce, Project Management, Google Analytics, UX Research",Data Engineer
CAND-144,9 Years,MBA Business Administration,"ML, Product Design, Agile, Negotiation, A/B Testing, Python",Technical Product Manager
CAND-145,7 Years,B.A. History,"Product Design, Team Leadership, Google Analytics, Power BI, Data Analytics, UX Research",Group Product Manager
CAND-146,8 Years,M.Tech Computer Science,"Collaboration, JIRA, Product Management, Python, Salesforce, AI, Scrum",Product Manager
CAND-147,12 Years,MBA,"A/B Testing, Data Science, Stakeholder Management, Data Analysis, Product Strategy, Negotiation",Technical Product Manager
CAND-148,5 Years,MBA Business Administration,"Stakeholder Management, JIRA, Negotiation, Product Management, Public Speaking, A/B Testing, SQL",Data Analyst
CAND-149,4 Years,B.A. History,"UX Research, Product Management, Public Speaking, Confluence",UX Designer
CAND-150,14 Years,M.Sc Data Science,"Team Leadership, A/B Testing, Product Strategy, Salesforce, Public Speaking, Python, Machine Learning, Customer Research",Group Product Manager
